Tarih      Saat      Enlem(N)  Boylam(E) Derinlik(km)  MD   ML   Mw    Yer                                             Çözüm Niteliği
2022.10.15 07:56:50  38.9375   27.8867        5.2      -.-  1.8  -.-   HASKOY-AKHISAR (MANISA)                           İlksel
2022.10.15 07:45:18  35.5813   27.5847       11.4      -.-  1.9  -.-   AKDENIZ                                           İlksel
2022.10.15 07:12:51  39.3595   33.1792        5.3      -.-  1.5  -.-   SUYUGUZEL-BALA (ANKARA)                           İlksel
2022.10.15 06:49:47  36.9443   27.8695       17.4      -.-  1.1  -.-   GOKOVA KORFEZI (AKDENIZ)                          İlksel
2022.10.15 05:55:14  40.8133   42.7483        7.6      -.-  1.9  -.-   DURUCASU-GOLE (ARDAHAN)                           İlksel
2022.10.15 05:25:19  38.8230   43.6065        8.1      -.-  1.1  -.-   AKCIFT-(VAN)                                      İlksel
2022.10.15 05:23:40  40.1315   27.2957       11.4      -.-  1.6  -.-   SARNICKOY-BIGA (CANAKKALE)                        İlksel
2022.10.15 05:20:41  40.5252   36.6442        5.0      -.-  1.3  -.-   MUSULLU-(TOKAT)                                   İlksel
2022.10.15 04:53:15  37.0900   36.1678        8.8      -.-  1.7  -.-   ALAHANLI-(OSMANIYE)                               İlksel
2022.10.15 04:38:34  37.1543   36.2220       14.1      -.-  1.4  -.-   SARPINAGZI-(OSMANIYE)                             İlksel
2022.10.15 04:38:31  39.1270   33.9285        5.4      -.-  1.6  -.-   SIDIKLIKUCUKBOGAZ-(KIRSEHIR)                      İlksel
2022.10.15 03:40:31  37.9042   27.0902        4.5      -.-  1.2  -.-   KUSADASI KORFEZI (EGE DENIZI)                     İlksel
2022.10.15 03:38:52  39.1183   33.8328        5.5      -.-  1.7  -.-   UZUNALIUSAGI-(KIRSEHIR)                           İlksel
2022.10.15 01:31:16  40.8663   42.7957        5.2      -.-  1.9  -.-   YAGMUROGLU-GOLE (ARDAHAN)                         İlksel
2022.10.15 01:27:36  36.9440   27.7533       20.4      -.-  1.4  -.-   GOKOVA KORFEZI (AKDENIZ)                          İlksel
2022.10.15 01:16:25  37.1522   27.9637        4.5      -.-  1.5  -.-   YOGUNOLUK-MILAS (MUGLA)                           İlksel
2022.10.15 00:46:50  36.9830   27.6468       13.2      -.-  1.4  -.-   GOKOVA KORFEZI (AKDENIZ)                          İlksel
2022.10.15 00:11:23  36.9173   27.6463       17.5      -.-  1.8  -.-   GOKOVA KORFEZI (AKDENIZ)                          İlksel
2022.10.14 22:29:49  37.9027   27.1358        8.8      -.-  3.3  3.2   KUSADASI KORFEZI (EGE DENIZI)                     İlksel
2022.10.14 21:05:22  40.6435   27.3390        9.4      -.-  1.5  -.-   MUREFTE ACIKLARI-TEKIRDAG (MARMARA DENIZI)        İlksel
2022.10.14 20:55:52  40.8098   42.8107       16.4      -.-  1.6  -.-   KUCUKALTINBULAK-GOLE (ARDAHAN)                    İlksel
